Catalogue Code,Reference Number,URL
bkat,16,"https://data.mgh.de/databases/clavis/wiki/index.php/Albi,_BM,_2"
cla,713,"https://data.mgh.de/databases/clavis/wiki/index.php/Arras,_BM,_644"
bkat,88,"https://data.mgh.de/databases/clavis/wiki/index.php/Arras,_BM,_644"
cla,1047,"https://data.mgh.de/databases/clavis/wiki/index.php/Berlin,_SBPK,_Hamilton_132"
bkat,353,"https://data.mgh.de/databases/clavis/wiki/index.php/Berlin,_SBPK,_Hamilton_132"
cla,1060,"https://data.mgh.de/databases/clavis/wiki/index.php/Berlin,_SBPK,_Phill._1743"
bkat,419a,"https://data.mgh.de/databases/clavis/wiki/index.php/Berlin,_SBPK,_Phill._1743"
cla,143,"https://data.mgh.de/databases/clavis/wiki/index.php/Cheltenham,_Phillipps_Collection,_17849"
cla,65,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Barb._lat._679"
bkat,6426,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Barb._lat._679"
bkat,6433,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Ottobon._lat._93"
bkat,6444,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Ottobon._lat._3295"
bkat,6445,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Ottobon._lat._3295"
bkat,6494,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Pal._lat._234"
bkat,6495,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Pal._lat._234"
cla,96,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Pal._lat._574"
bkat,6543,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Pal._lat._574"
bkat,6534,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Pal._lat._574"
bkat,6764,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Reg._lat._1127"
cla,113,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Reg._lat._1997"
bkat,6804,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Reg._lat._1997"
bkat,6844,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._630"
bkat,3627,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._631"
cla,8,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._1322"
bkat,6852,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._1322"
bkat,6852a,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._1322"
bkat,6855,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._1341"
cla,9,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._1342"
bkat,6855a,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._1342"
bkat,6882,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._3827"
bkat,6909,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._5751"
bkat,6910,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._5751"
bkat,6911,"https://data.mgh.de/databases/clavis/wiki/index.php/Citt%C3%A0_del_Vaticano,_BAV,_Vat._lat._5751"
cla,1572a,"https://data.mgh.de/databases/clavis/wiki/index.php/Den_Haag,_Huis_van_het_boek,_10_B_4"
bkat,1442a,"https://data.mgh.de/databases/clavis/wiki/index.php/Den_Haag,_Huis_van_het_boek,_10_B_4"
cla,1188,"https://data.mgh.de/databases/clavis/wiki/index.php/D%C3%BCsseldorf,_ULB,_E.32"
bkat,1072,"https://data.mgh.de/databases/clavis/wiki/index.php/D%C3%BCsseldorf,_ULB,_E.32"
cla,874,"https://data.mgh.de/databases/clavis/wiki/index.php/Einsiedeln,_Stiftsbibliothek,_Codex_191%28277%29"
bkat,1116,"https://data.mgh.de/databases/clavis/wiki/index.php/Einsiedeln,_Stiftsbibliothek,_Codex_191%28277%29"
bkat,1207,"https://data.mgh.de/databases/clavis/wiki/index.php/Firenze,_BML,_Edili_82"
