Catalogue Code,Reference Number,URL
bkat,29,https://ircabritt.nuigalway.ie/handlist/catalogue/1
bkat,48,https://ircabritt.nuigalway.ie/handlist/catalogue/2
bkat,50,https://ircabritt.nuigalway.ie/handlist/catalogue/5
bkat,52,https://ircabritt.nuigalway.ie/handlist/catalogue/6
bkat,67,https://ircabritt.nuigalway.ie/handlist/catalogue/8
bkat,182,https://ircabritt.nuigalway.ie/handlist/catalogue/11
bkat,184,https://ircabritt.nuigalway.ie/handlist/catalogue/12
bkat,503,https://ircabritt.nuigalway.ie/handlist/catalogue/18
bkat,507,https://ircabritt.nuigalway.ie/handlist/catalogue/15
bkat,518,https://ircabritt.nuigalway.ie/handlist/catalogue/16
bkat,542,https://ircabritt.nuigalway.ie/handlist/catalogue/20
bkat,548,https://ircabritt.nuigalway.ie/handlist/catalogue/21
bkat,567,https://ircabritt.nuigalway.ie/handlist/catalogue/23
bkat,590,https://ircabritt.nuigalway.ie/handlist/catalogue/24
bkat,657,https://ircabritt.nuigalway.ie/handlist/catalogue/27
bkat,737,https://ircabritt.nuigalway.ie/handlist/catalogue/28
bkat,805,https://ircabritt.nuigalway.ie/handlist/catalogue/29
bkat,811,https://ircabritt.nuigalway.ie/handlist/catalogue/31
bkat,818,https://ircabritt.nuigalway.ie/handlist/catalogue/34
bkat,821,https://ircabritt.nuigalway.ie/handlist/catalogue/36
bkat,829,https://ircabritt.nuigalway.ie/handlist/catalogue/38
bkat,874,https://ircabritt.nuigalway.ie/handlist/catalogue/41
bkat,889,https://ircabritt.nuigalway.ie/handlist/catalogue/43
bkat,1031,https://ircabritt.nuigalway.ie/handlist/catalogue/48
bkat,1424,https://ircabritt.nuigalway.ie/handlist/catalogue/52
bkat,1424,https://ircabritt.nuigalway.ie/handlist/catalogue/53
bkat,1424,https://ircabritt.nuigalway.ie/handlist/catalogue/54
bkat,1424,https://ircabritt.nuigalway.ie/handlist/catalogue/92
bkat,1424,https://ircabritt.nuigalway.ie/handlist/catalogue/121
bkat,1424,https://ircabritt.nuigalway.ie/handlist/catalogue/223
bkat,1702,https://ircabritt.nuigalway.ie/handlist/catalogue/56
bkat,1871,https://ircabritt.nuigalway.ie/handlist/catalogue/45
bkat,2114,https://ircabritt.nuigalway.ie/handlist/catalogue/57
bkat,2135,https://ircabritt.nuigalway.ie/handlist/catalogue/58
bkat,2135,https://ircabritt.nuigalway.ie/handlist/catalogue/59
bkat,2171,https://ircabritt.nuigalway.ie/handlist/catalogue/60
bkat,2187,https://ircabritt.nuigalway.ie/handlist/catalogue/62
bkat,2208,https://ircabritt.nuigalway.ie/handlist/catalogue/63
bkat,2293,https://ircabritt.nuigalway.ie/handlist/catalogue/65
bkat,2357,https://ircabritt.nuigalway.ie/handlist/catalogue/66
bkat,2422,https://ircabritt.nuigalway.ie/handlist/catalogue/68
bkat,2423,https://ircabritt.nuigalway.ie/handlist/catalogue/69
bkat,2433,https://ircabritt.nuigalway.ie/handlist/catalogue/70
bkat,2447,https://ircabritt.nuigalway.ie/handlist/catalogue/72
bkat,2451,https://ircabritt.nuigalway.ie/handlist/catalogue/73
bkat,2462,https://ircabritt.nuigalway.ie/handlist/catalogue/74
bkat,2481,https://ircabritt.nuigalway.ie/handlist/catalogue/76
bkat,2491,https://ircabritt.nuigalway.ie/handlist/catalogue/77
bkat,2493,https://ircabritt.nuigalway.ie/handlist/catalogue/78
bkat,2534,https://ircabritt.nuigalway.ie/handlist/catalogue/83
bkat,2534,https://ircabritt.nuigalway.ie/handlist/catalogue/147
bkat,2765,https://ircabritt.nuigalway.ie/handlist/catalogue/85
bkat,2838,https://ircabritt.nuigalway.ie/handlist/catalogue/86
bkat,2927,https://ircabritt.nuigalway.ie/handlist/catalogue/87
bkat,3131,https://ircabritt.nuigalway.ie/handlist/catalogue/88
bkat,3168,https://ircabritt.nuigalway.ie/handlist/catalogue/89
bkat,3273,https://ircabritt.nuigalway.ie/handlist/catalogue/90
bkat,3313,https://ircabritt.nuigalway.ie/handlist/catalogue/91
bkat,3625,https://ircabritt.nuigalway.ie/handlist/catalogue/93
bkat,3678,https://ircabritt.nuigalway.ie/handlist/catalogue/94
bkat,3679,https://ircabritt.nuigalway.ie/handlist/catalogue/95
bkat,3692,https://ircabritt.nuigalway.ie/handlist/catalogue/51
bkat,3709,https://ircabritt.nuigalway.ie/handlist/catalogue/96
bkat,3717,https://ircabritt.nuigalway.ie/handlist/catalogue/97
bkat,3724,https://ircabritt.nuigalway.ie/handlist/catalogue/98
bkat,3727,https://ircabritt.nuigalway.ie/handlist/catalogue/99
bkat,3732,https://ircabritt.nuigalway.ie/handlist/catalogue/100
bkat,3732,https://ircabritt.nuigalway.ie/handlist/catalogue/101
bkat,3733,https://ircabritt.nuigalway.ie/handlist/catalogue/102
