Catalogue Code,Reference Number,URL
cla,1a,https://elmss.nuigalway.ie/catalogue/1
cla,1b,https://elmss.nuigalway.ie/catalogue/2
cla,1c,https://elmss.nuigalway.ie/catalogue/3
cla,2,https://elmss.nuigalway.ie/catalogue/4
cla,3,https://elmss.nuigalway.ie/catalogue/5
cla,4,https://elmss.nuigalway.ie/catalogue/6
cla,5a,https://elmss.nuigalway.ie/catalogue/7
cla,5b,https://elmss.nuigalway.ie/catalogue/8
cla,6,https://elmss.nuigalway.ie/catalogue/9
cla,7,https://elmss.nuigalway.ie/catalogue/10
cla,8,https://elmss.nuigalway.ie/catalogue/11
cla,9,https://elmss.nuigalway.ie/catalogue/12
cla,10,https://elmss.nuigalway.ie/catalogue/13
cla,11,https://elmss.nuigalway.ie/catalogue/14
cla,** (p. 5),https://elmss.nuigalway.ie/catalogue/15
cla,12,https://elmss.nuigalway.ie/catalogue/16
cla,13,https://elmss.nuigalway.ie/catalogue/17
cla,14,https://elmss.nuigalway.ie/catalogue/18
cla,15,https://elmss.nuigalway.ie/catalogue/19
cla,16,https://elmss.nuigalway.ie/catalogue/20
cla,17,https://elmss.nuigalway.ie/catalogue/21
cla,18a,https://elmss.nuigalway.ie/catalogue/22
cla,18b,https://elmss.nuigalway.ie/catalogue/23
cla,19,https://elmss.nuigalway.ie/catalogue/24
cla,20,https://elmss.nuigalway.ie/catalogue/25
cla,21,https://elmss.nuigalway.ie/catalogue/26
cla,22,https://elmss.nuigalway.ie/catalogue/27
cla,23,https://elmss.nuigalway.ie/catalogue/28
cla,24a,https://elmss.nuigalway.ie/catalogue/29
cla,24b,https://elmss.nuigalway.ie/catalogue/30
cla,25,https://elmss.nuigalway.ie/catalogue/31
cla,26a,https://elmss.nuigalway.ie/catalogue/32
cla,26b,https://elmss.nuigalway.ie/catalogue/33
cla,26c,https://elmss.nuigalway.ie/catalogue/34
cla,27,https://elmss.nuigalway.ie/catalogue/35
cla,28,https://elmss.nuigalway.ie/catalogue/36
cla,29,https://elmss.nuigalway.ie/catalogue/37
cla,30,https://elmss.nuigalway.ie/catalogue/38
cla,31,https://elmss.nuigalway.ie/catalogue/39
cla,32,https://elmss.nuigalway.ie/catalogue/40
cla,33,https://elmss.nuigalway.ie/catalogue/41
cla,34,https://elmss.nuigalway.ie/catalogue/42
cla,35,https://elmss.nuigalway.ie/catalogue/43
cla,36,https://elmss.nuigalway.ie/catalogue/44
cla,37,https://elmss.nuigalway.ie/catalogue/45
cla,38,https://elmss.nuigalway.ie/catalogue/46
cla,39,https://elmss.nuigalway.ie/catalogue/47
cla,40,https://elmss.nuigalway.ie/catalogue/48
cla,41,https://elmss.nuigalway.ie/catalogue/49
cla,42,https://elmss.nuigalway.ie/catalogue/50
cla,43,https://elmss.nuigalway.ie/catalogue/51
cla,44,https://elmss.nuigalway.ie/catalogue/52
cla,45,https://elmss.nuigalway.ie/catalogue/53
cla,46,https://elmss.nuigalway.ie/catalogue/54
cla,47,https://elmss.nuigalway.ie/catalogue/55
cla,48,https://elmss.nuigalway.ie/catalogue/56
cla,49,https://elmss.nuigalway.ie/catalogue/57
cla,50,https://elmss.nuigalway.ie/catalogue/58
cla,51,https://elmss.nuigalway.ie/catalogue/59
cla,52,https://elmss.nuigalway.ie/catalogue/60
cla,53,https://elmss.nuigalway.ie/catalogue/61
cla,54,https://elmss.nuigalway.ie/catalogue/62
cla,55,https://elmss.nuigalway.ie/catalogue/63
cla,56,https://elmss.nuigalway.ie/catalogue/64
cla,57,https://elmss.nuigalway.ie/catalogue/65
cla,58,https://elmss.nuigalway.ie/catalogue/66
cla,** (p. 18),https://elmss.nuigalway.ie/catalogue/67
cla,59,https://elmss.nuigalway.ie/catalogue/68
cla,60,https://elmss.nuigalway.ie/catalogue/69
cla,61,https://elmss.nuigalway.ie/catalogue/70
cla,62,https://elmss.nuigalway.ie/catalogue/71
cla,** (p.19),https://elmss.nuigalway.ie/catalogue/72
cla,63,https://elmss.nuigalway.ie/catalogue/73
cla,64,https://elmss.nuigalway.ie/catalogue/74
cla,65,https://elmss.nuigalway.ie/catalogue/75
cla,66,https://elmss.nuigalway.ie/catalogue/76
cla,67,https://elmss.nuigalway.ie/catalogue/77
cla,68a,https://elmss.nuigalway.ie/catalogue/78
cla,68b,https://elmss.nuigalway.ie/catalogue/79
cla,69,https://elmss.nuigalway.ie/catalogue/80
cla,70,https://elmss.nuigalway.ie/catalogue/81
cla,71,https://elmss.nuigalway.ie/catalogue/82
cla,72,https://elmss.nuigalway.ie/catalogue/83
cla,73,https://elmss.nuigalway.ie/catalogue/84
cla,74,https://elmss.nuigalway.ie/catalogue/85
cla,75,https://elmss.nuigalway.ie/catalogue/86
cla,76,https://elmss.nuigalway.ie/catalogue/87
cla,77,https://elmss.nuigalway.ie/catalogue/88
cla,78,https://elmss.nuigalway.ie/catalogue/89
cla,79,https://elmss.nuigalway.ie/catalogue/90
cla,80a,https://elmss.nuigalway.ie/catalogue/91
cla,80b,https://elmss.nuigalway.ie/catalogue/92
cla,81,https://elmss.nuigalway.ie/catalogue/93
cla,82,https://elmss.nuigalway.ie/catalogue/94
cla,83,https://elmss.nuigalway.ie/catalogue/95
cla,84,https://elmss.nuigalway.ie/catalogue/96
cla,85,https://elmss.nuigalway.ie/catalogue/97
cla,86,https://elmss.nuigalway.ie/catalogue/98
cla,87,https://elmss.nuigalway.ie/catalogue/99
cla,88,https://elmss.nuigalway.ie/catalogue/100
cla,89,https://elmss.nuigalway.ie/catalogue/101
cla,90,https://elmss.nuigalway.ie/catalogue/102
cla,91,https://elmss.nuigalway.ie/catalogue/103
cla,92,https://elmss.nuigalway.ie/catalogue/104
cla,93,https://elmss.nuigalway.ie/catalogue/105
cla,94,https://elmss.nuigalway.ie/catalogue/106
cla,95,https://elmss.nuigalway.ie/catalogue/107
cla,96,https://elmss.nuigalway.ie/catalogue/108
cla,97,https://elmss.nuigalway.ie/catalogue/109
cla,98,https://elmss.nuigalway.ie/catalogue/110
cla,99,https://elmss.nuigalway.ie/catalogue/111
cla,100,https://elmss.nuigalway.ie/catalogue/112
cla,101,https://elmss.nuigalway.ie/catalogue/113
cla,102,https://elmss.nuigalway.ie/catalogue/114
cla,103,https://elmss.nuigalway.ie/catalogue/115
cla,104a,https://elmss.nuigalway.ie/catalogue/116
cla,104b,https://elmss.nuigalway.ie/catalogue/117
cla,105,https://elmss.nuigalway.ie/catalogue/118
cla,106,https://elmss.nuigalway.ie/catalogue/119
cla,** (p. 32),https://elmss.nuigalway.ie/catalogue/120
cla,107,https://elmss.nuigalway.ie/catalogue/121
cla,108,https://elmss.nuigalway.ie/catalogue/122
cla,109,https://elmss.nuigalway.ie/catalogue/123
cla,110,https://elmss.nuigalway.ie/catalogue/124
cla,111,https://elmss.nuigalway.ie/catalogue/125
cla,112,https://elmss.nuigalway.ie/catalogue/126
cla,** (p. 34),https://elmss.nuigalway.ie/catalogue/127
cla,** (p. 34),https://elmss.nuigalway.ie/catalogue/128
cla,** (p. 34),https://elmss.nuigalway.ie/catalogue/129
cla,113,https://elmss.nuigalway.ie/catalogue/130
cla,114,https://elmss.nuigalway.ie/catalogue/131
cla,115,https://elmss.nuigalway.ie/catalogue/132
cla,116,https://elmss.nuigalway.ie/catalogue/133
cla,117,https://elmss.nuigalway.ie/catalogue/134
cla,**5b,https://elmss.nuigalway.ie/catalogue/135
cla,**1042,https://elmss.nuigalway.ie/catalogue/136
cla,**1051,https://elmss.nuigalway.ie/catalogue/137
cla,**107,https://elmss.nuigalway.ie/catalogue/138
cla,**108,https://elmss.nuigalway.ie/catalogue/139
cla,**1124 (+ 8.1124),https://elmss.nuigalway.ie/catalogue/140
cla,**1127,https://elmss.nuigalway.ie/catalogue/142
cla,**1174,https://elmss.nuigalway.ie/catalogue/143
cla,**1180,https://elmss.nuigalway.ie/catalogue/144
cla,**1286a,https://elmss.nuigalway.ie/catalogue/145
cla,**1286b,https://elmss.nuigalway.ie/catalogue/146
cla,**1318,https://elmss.nuigalway.ie/catalogue/147
cla,**1325,https://elmss.nuigalway.ie/catalogue/148
cla,**1337,https://elmss.nuigalway.ie/catalogue/149
cla,**171,https://elmss.nuigalway.ie/catalogue/150
cla,**227,https://elmss.nuigalway.ie/catalogue/151
cla,**285,https://elmss.nuigalway.ie/catalogue/152
cla,**563,https://elmss.nuigalway.ie/catalogue/153
cla,**799,https://elmss.nuigalway.ie/catalogue/154
cla,**819,https://elmss.nuigalway.ie/catalogue/155
cla,**842,https://elmss.nuigalway.ie/catalogue/156
cla,**984,https://elmss.nuigalway.ie/catalogue/157
cla,**985,https://elmss.nuigalway.ie/catalogue/158
cla,1443,https://elmss.nuigalway.ie/catalogue/159
cla,1444a,https://elmss.nuigalway.ie/catalogue/160
cla,1444b,https://elmss.nuigalway.ie/catalogue/161
cla,1445,https://elmss.nuigalway.ie/catalogue/162
cla,1446,https://elmss.nuigalway.ie/catalogue/163
cla,1447,https://elmss.nuigalway.ie/catalogue/164
cla,1448,https://elmss.nuigalway.ie/catalogue/165
cla,1449,https://elmss.nuigalway.ie/catalogue/166
cla,1450,https://elmss.nuigalway.ie/catalogue/167
cla,1451,https://elmss.nuigalway.ie/catalogue/168
cla,1452,https://elmss.nuigalway.ie/catalogue/169
cla,1453,https://elmss.nuigalway.ie/catalogue/170
cla,1454,https://elmss.nuigalway.ie/catalogue/171
cla,1455,https://elmss.nuigalway.ie/catalogue/172
cla,1456,https://elmss.nuigalway.ie/catalogue/173
cla,1457,https://elmss.nuigalway.ie/catalogue/174
cla,1458,https://elmss.nuigalway.ie/catalogue/176
cla,1459,https://elmss.nuigalway.ie/catalogue/177
cla,1460,https://elmss.nuigalway.ie/catalogue/178
cla,1461,https://elmss.nuigalway.ie/catalogue/179
cla,1462,https://elmss.nuigalway.ie/catalogue/180
cla,1463,https://elmss.nuigalway.ie/catalogue/181
cla,1464,https://elmss.nuigalway.ie/catalogue/182
cla,1465,https://elmss.nuigalway.ie/catalogue/183
cla,1466,https://elmss.nuigalway.ie/catalogue/184
cla,1467,https://elmss.nuigalway.ie/catalogue/185
cla,1468,https://elmss.nuigalway.ie/catalogue/186
cla,1469,https://elmss.nuigalway.ie/catalogue/187
cla,1470,https://elmss.nuigalway.ie/catalogue/188
cla,1471,https://elmss.nuigalway.ie/catalogue/189
cla,1472,https://elmss.nuigalway.ie/catalogue/190
cla,1473,https://elmss.nuigalway.ie/catalogue/191
cla,1474,https://elmss.nuigalway.ie/catalogue/192
cla,1475,https://elmss.nuigalway.ie/catalogue/193
cla,1476,https://elmss.nuigalway.ie/catalogue/194
cla,1477,https://elmss.nuigalway.ie/catalogue/195
cla,1478,https://elmss.nuigalway.ie/catalogue/196
cla,1479,https://elmss.nuigalway.ie/catalogue/197
cla,1480,https://elmss.nuigalway.ie/catalogue/198
cla,1481,https://elmss.nuigalway.ie/catalogue/200
cla,1482,https://elmss.nuigalway.ie/catalogue/201
cla,1483,https://elmss.nuigalway.ie/catalogue/202
cla,1484,https://elmss.nuigalway.ie/catalogue/203
cla,1485,https://elmss.nuigalway.ie/catalogue/204
cla,1486,https://elmss.nuigalway.ie/catalogue/205
cla,1487,https://elmss.nuigalway.ie/catalogue/206
cla,1488,https://elmss.nuigalway.ie/catalogue/207
cla,1489,https://elmss.nuigalway.ie/catalogue/208
cla,1490,https://elmss.nuigalway.ie/catalogue/209
cla,1491,https://elmss.nuigalway.ie/catalogue/210
cla,1492,https://elmss.nuigalway.ie/catalogue/211
cla,1493,https://elmss.nuigalway.ie/catalogue/213
cla,1494,https://elmss.nuigalway.ie/catalogue/214
cla,1495,https://elmss.nuigalway.ie/catalogue/216
cla,1496,https://elmss.nuigalway.ie/catalogue/217
cla,1497,https://elmss.nuigalway.ie/catalogue/218
cla,1498,https://elmss.nuigalway.ie/catalogue/219
cla,1499,https://elmss.nuigalway.ie/catalogue/220
cla,1500,https://elmss.nuigalway.ie/catalogue/222
cla,1501,https://elmss.nuigalway.ie/catalogue/223
cla,1502,https://elmss.nuigalway.ie/catalogue/224
cla,1503,https://elmss.nuigalway.ie/catalogue/225
cla,1504,https://elmss.nuigalway.ie/catalogue/226
cla,1505,https://elmss.nuigalway.ie/catalogue/227
cla,1506,https://elmss.nuigalway.ie/catalogue/229
cla,1507,https://elmss.nuigalway.ie/catalogue/230
cla,1508,https://elmss.nuigalway.ie/catalogue/231
cla,1509,https://elmss.nuigalway.ie/catalogue/232
cla,1510,https://elmss.nuigalway.ie/catalogue/233
cla,1511,https://elmss.nuigalway.ie/catalogue/234
cla,1512,https://elmss.nuigalway.ie/catalogue/235
cla,1513,https://elmss.nuigalway.ie/catalogue/236
cla,1514,https://elmss.nuigalway.ie/catalogue/237
cla,1515,https://elmss.nuigalway.ie/catalogue/238
