Catalogue Code,Reference Number,URL
bkat,"I, p. 10",https://db.innovatingknowledge.nl/#detail/M0002 
bkat,20,https://db.innovatingknowledge.nl/#detail/M0003
cla,706,https://db.innovatingknowledge.nl/#detail/M0004
bkat,21,https://db.innovatingknowledge.nl/#detail/M0004
bkat,22,https://db.innovatingknowledge.nl/#detail/M0005 
cla,712,https://db.innovatingknowledge.nl/#detail/M0006
bkat,41,https://db.innovatingknowledge.nl/#detail/M0006
bkat,61,https://db.innovatingknowledge.nl/#detail/M0007
bkat,64,https://db.innovatingknowledge.nl/#detail/M0008
bkat,67,https://db.innovatingknowledge.nl/#detail/M0009
bkat,137,https://db.innovatingknowledge.nl/#detail/M0010
bkat,223,https://db.innovatingknowledge.nl/#detail/M0013
bkat,"I, p. 54",https://db.innovatingknowledge.nl/#detail/M0014
bkat,270,https://db.innovatingknowledge.nl/#detail/M0021
bkat,488,https://db.innovatingknowledge.nl/#detail/M0022
cla,1044,https://db.innovatingknowledge.nl/#detail/M0023
cla,1049,https://db.innovatingknowledge.nl/#detail/M0025
bkat,367,https://db.innovatingknowledge.nl/#detail/M0025
bkat,368,https://db.innovatingknowledge.nl/#detail/M0026
cla,1674,https://db.innovatingknowledge.nl/#detail/M0027
bkat,372,https://db.innovatingknowledge.nl/#detail/M0027
bkat,"I, p. 78",https://db.innovatingknowledge.nl/#detail/M0028
bkat,417,https://db.innovatingknowledge.nl/#detail/M0029
cla,1063,https://db.innovatingknowledge.nl/#detail/M0030
bkat,421,https://db.innovatingknowledge.nl/#detail/M0030
bkat,429,https://db.innovatingknowledge.nl/#detail/M0031
bkat,437,https://db.innovatingknowledge.nl/#detail/M0032
bkat,440,https://db.innovatingknowledge.nl/#detail/M0034
bkat,2333,https://db.innovatingknowledge.nl/#detail/M0035
cla,854,https://db.innovatingknowledge.nl/#detail/M0036
bkat,511,https://db.innovatingknowledge.nl/#detail/M0036
bkat,493,https://db.innovatingknowledge.nl/#detail/M0037
bkat,495,https://db.innovatingknowledge.nl/#detail/M0038
bkat,532,https://db.innovatingknowledge.nl/#detail/M0039
bkat,542,https://db.innovatingknowledge.nl/#detail/M0040
bkat,547,https://db.innovatingknowledge.nl/#detail/M0041
cla,568,https://db.innovatingknowledge.nl/#detail/M0042
cla,568,https://db.innovatingknowledge.nl/#detail/M0042
